popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,energy_acoustic_ratio
68.0,263152,0,0.631,0.631,6,-6.934,1,0.0307,0.693,0.0,0.133,0.697,89.975,4,pop,0.6466957779135181
44.0,236700,0,0.25,0.618,2,-7.705,1,0.0378,0.16,0.0169,0.109,0.12,66.632,4,indie-pop,1.5766066808862853
0.0,181210,0,0.538,0.318,7,-13.036,0,0.0417,0.88,7.28e-05,0.116,0.0897,144.988,4,indie-pop,0.30818552909133473
88.0,238805,0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,indie-pop,0.784118958765672
0.0,213120,0,0.752,0.538,11,-13.293,1,0.0315,0.0629,8.8e-05,0.0767,0.752,123.028,4,synth-pop,2.2427719571702363
72.0,215937,0,0.675,0.817,5,-3.789,0,0.0497,0.00711,0.0,0.0839,0.446,105.964,4,indie-pop,4.622418842652594
4.0,234560,0,0.813,0.786,6,-4.133,0,0.154,0.107,0.0,0.238,0.828,175.908,4,hip-hop,2.1135745480492947
0.0,168620,1,0.727,0.647,11,-7.383,0,0.28,0.0329,0.0,0.246,0.529,159.959,4,hip-hop,3.0000004381025165
57.0,163200,0,0.918,0.673,0,-5.084,1,0.184,0.314,0.0,0.0555,0.828,99.952,4,hip-hop,1.1431100589222347
0.0,480186,1,0.408,0.533,8,-6.871,0,0.0536,0.235,0.0,0.345,0.239,140.069,4,hip-hop,1.181259164480034
62.0,170126,0,0.828,0.642,10,-8.459,0,0.306,0.227,7.51e-06,0.275,0.726,158.028,4,hip-hop,1.3391475826941888
24.0,252306,0,0.744,0.923,11,-5.802,1,0.0448,0.188,0.841,0.0468,0.96,118.905,4,synth-pop,1.7721684597508853
59.0,192000,1,0.869,0.826,2,-4.186,1,0.333,0.211,0.0,0.0696,0.503,110.05,4,hip-hop,1.5884647890538215
41.0,307800,0,0.563,0.415,10,-12.457,1,0.029,0.618,1.83e-05,0.0898,0.579,130.802,4,r-n-b,0.5130847823837784
65.0,284625,0,0.757,0.596,7,-8.039,1,0.0339,0.0409,0.0447,0.171,0.195,97.769,4,synth-pop,2.7228957043198174
60.0,216000,0,0.493,0.284,2,-12.815,1,0.0309,0.953,0.00739,0.151,0.199,79.959,4,indie-pop,0.26058878179625483
36.0,188400,0,0.39,0.682,2,-7.31,1,0.119,0.38,0.000256,0.147,0.0942,150.025,4,pop,1.0260510032152468
72.0,226706,0,0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,4,synth-pop,0.7641965267097951
0.0,154013,0,0.497,0.53,2,-5.853,1,0.0433,0.325,0.0,0.0921,0.231,149.387,4,indie-pop,0.9653729947750345
24.0,197786,0,0.552,0.891,2,-3.911,1,0.0253,0.00608,1.52e-05,0.156,0.613,92.028,4,synth-pop,4.842985243488261
43.0,277432,0,0.471,0.651,4,-8.507,1,0.0327,0.147,0.000241,0.197,0.495,173.906,4,indie-pop,1.6861486720021597
0.0,197610,1,0.706,0.627,4,-2.94,0,0.202,0.193,0.0,0.126,0.38,158.041,4,hip-hop,1.4426649503891
82.0,176232,0,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.0,0.149,0.494,94.984,4,pop,2.2423565195006825
64.0,344360,0,0.448,0.607,9,-4.606,0,0.0611,0.791,0.0,0.0888,0.484,139.509,4,pop,0.5689515828510552
1.0,272133,0,0.609,0.93,1,-5.861,1,0.0511,0.0273,0.0327,0.107,0.729,123.908,4,synth-pop,3.5222990767005244
68.0,177152,0,0.618,0.37,10,-10.5,1,0.0543,0.883,0.0,0.123,0.433,114.26,4,indie-pop,0.3496366585552226
64.0,157516,0,0.612,0.829,9,-4.225,1,0.0583,0.0606,0.0,0.38,0.694,94.961,4,hip-hop,2.671233522348128
42.0,205333,0,0.584,0.589,11,-6.211,1,0.122,0.346,0.0,0.149,0.367,180.113,4,indie-pop,0.9922906965307329
38.0,189385,0,0.574,0.625,7,-6.249,1,0.0304,0.0366,0.000243,0.114,0.281,126.923,4,synth-pop,2.8691674394699467
80.0,177280,0,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,4,indie-pop,5.444251267271732
82.0,217866,0,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,4,pop,0.766557364673352
88.0,260253,0,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,4,pop,1.7382707842770688
56.0,187804,1,0.746,0.886,4,-5.717,0,0.0455,0.0506,0.00182,0.484,0.189,123.017,4,synth-pop,2.899801746335231
76.0,194165,1,0.609,0.449,5,-13.291,0,0.249,0.326,0.000115,0.147,0.309,143.854,4,indie-pop,0.8641923492859653
40.0,215722,0,0.63,0.578,2,-9.489,1,0.0662,0.334,2.46e-06,0.0955,0.389,92.0,4,indie-pop,1.002605348769902
42.0,287549,0,0.563,0.8,11,-4.118,0,0.036,0.296,0.0,0.119,0.384,138.974,4,r-n-b,1.3066023214725306
76.0,152214,0,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978,4,pop,3.8401384189667094
68.0,232066,0,0.639,0.594,10,-6.497,1,0.0347,0.131,0.0,0.119,0.378,80.034,4,hip-hop,1.7047480922384253
60.0,348280,0,0.459,0.563,9,-6.369,0,0.0263,0.39,1.98e-06,0.107,0.0961,101.996,4,hip-hop,0.8919561114629206
58.0,243157,0,0.585,0.635,8,-7.219,0,0.0488,0.0964,0.0,0.134,0.55,76.089,4,hip-hop,2.017500602151866
70.0,124021,0,0.511,0.435,9,-10.254,1,0.0408,0.301,8.2e-05,0.255,0.343,120.207,4,indie-pop,0.892160874814467
5.0,214190,0,0.629,0.763,0,-4.279,0,0.0453,0.244,0.0,0.312,0.809,93.023,4,pop,1.4144652380865868
70.0,232400,0,0.627,0.802,0,-8.432,1,0.0348,0.197,0.784,0.404,0.867,126.283,4,synth-pop,1.6194882482876019
65.0,364329,0,0.549,0.737,0,-7.865,1,0.0386,0.459,0.00844,0.091,0.412,119.963,4,pop,0.9563472160748324
66.0,206920,0,0.62,0.93,8,-5.615,1,0.0486,0.0662,0.0,0.0788,0.675,126.041,4,indie-pop,2.697278104120299
25.0,212360,0,0.616,0.729,0,-8.038,1,0.0295,0.041,4.13e-05,0.366,0.439,146.167,4,synth-pop,2.9100187552799612
10.0,238706,0,0.616,0.829,11,-7.225,0,0.0401,0.0306,0.0102,0.237,0.49,108.014,4,synth-pop,3.3044726998116327
42.0,145575,0,0.764,0.768,9,-8.769,1,0.0374,0.12,6.15e-05,0.0688,0.853,114.898,4,r-n-b,1.9943066899171635
65.0,286160,0,0.748,0.414,2,-15.15,0,0.0405,0.069,0.0671,0.336,0.239,97.646,4,synth-pop,1.9335896646672726
54.0,119633,0,0.539,0.736,11,-10.608,0,0.036,0.0613,0.934,0.0734,0.503,110.0,3,synth-pop,2.5505230408583457
0.0,162897,0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,r-n-b,0.689740022238331
40.0,251146,0,0.69,0.815,7,-4.696,1,0.0394,0.215,1.67e-05,0.205,0.885,92.983,4,r-n-b,1.5630060763327949
73.0,184905,1,0.758,0.598,0,-5.695,0,0.0868,0.16,0.0,0.295,0.658,149.836,4,pop,1.5505974124111668
67.0,230068,0,0.524,0.601,8,-6.112,0,0.0404,0.663,0.0,0.114,0.598,72.048,4,pop,0.6445452516851867
55.0,244306,0,0.53,0.873,0,-10.572,1,0.0433,0.0403,0.000118,0.119,0.456,126.16,4,synth-pop,3.0972962452033936
77.0,148750,1,0.62,0.62,1,-6.322,0,0.0375,0.0388,0.000213,0.129,0.459,144.835,4,pop,2.808069846504089
1.0,184600,0,0.465,0.731,2,-10.592,1,0.0724,0.448,0.00111,0.297,0.638,129.683,4,synth-pop,0.9662468297174561
23.0,185960,0,0.705,0.631,2,-13.718,1,0.0427,0.119,0.000178,0.0698,0.972,157.295,4,synth-pop,1.8339139089820888
41.0,232066,0,0.56,0.846,0,-6.816,1,0.0412,0.000647,0.0,0.0769,0.477,129.985,4,r-n-b,6.243508824345594
60.0,188442,0,0.82,0.26,9,-14.473,1,0.0759,0.757,0.0,0.144,0.641,114.943,4,indie-pop,0.2949118114680964
6.0,153190,0,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49e-05,0.409,0.473,153.947,4,pop,1.636987864202331
0.0,173947,1,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop,3.105741060151324
61.0,348944,0,0.558,0.538,5,-8.853,1,0.0327,0.629,0.0198,0.424,0.254,99.992,4,synth-pop,0.6173283440025941
24.0,305626,0,0.48,0.795,0,-6.757,1,0.0394,0.139,0.0,0.756,0.376,86.708,4,synth-pop,1.8989041066793826
0.0,191822,1,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,4,hip-hop,2.1274021744868925
53.0,260107,0,0.646,0.311,7,-9.169,1,0.0328,0.917,7.88e-06,0.236,0.305,130.018,4,indie-pop,0.29175871894554434
0.0,333800,1,0.793,0.737,6,-4.731,0,0.0785,0.0765,0.0,0.0747,0.697,167.969,4,pop,2.3522964916827984
74.0,181279,0,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,4,indie-pop,2.5825829945531327
0.0,328864,0,0.465,0.23,5,-13.791,0,0.0325,0.349,2.85e-06,0.539,0.114,123.102,4,synth-pop,0.5050949490570057
53.0,219506,0,0.741,0.742,1,-7.557,1,0.0306,0.497,0.885,0.0863,0.845,102.8,4,synth-pop,0.9122665815744296
64.0,176466,0,0.639,0.704,7,-5.818,1,0.0659,0.22,0.0872,0.0849,0.645,162.983,4,indie-pop,1.4316310359946722
2.0,186226,0,0.658,0.791,8,-4.66,1,0.0512,0.102,0.0,0.139,0.744,75.017,4,indie-pop,2.1609767869438783
0.0,178373,1,0.746,0.434,4,-6.981,1,0.0388,0.0222,8.21e-06,0.101,0.389,119.974,4,indie-pop,2.980968653248391
76.0,228705,1,0.592,0.728,2,-6.098,1,0.311,0.00148,0.0,0.379,0.577,113.17,5,pop,5.685443292131194
60.0,192980,0,0.66,0.639,9,-6.61,1,0.0286,0.345,0.00109,0.0775,0.227,124.068,4,indie-pop,1.0462028661143647
0.0,112960,0,0.576,0.682,3,-4.212,1,0.0369,0.726,0.0,0.236,0.919,145.274,4,r-n-b,0.6617090343651609
50.0,258032,1,0.625,0.706,9,-4.604,1,0.0326,0.301,0.0,0.0735,0.273,123.019,4,synth-pop,1.2052964312564443
0.0,228259,1,0.428,0.832,6,-3.455,1,0.338,0.303,0.0,0.142,0.157,85.594,4,hip-hop,1.318240897874875
58.0,163008,0,0.677,0.68,1,-5.19,0,0.103,0.0616,4.49e-05,0.0812,0.473,189.954,4,hip-hop,2.473392263636927
83.0,232186,1,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4,hip-hop,2.424154987381926
0.0,217368,0,0.568,0.402,5,-11.344,1,0.0448,0.787,0.000188,0.103,0.397,125.743,4,indie-pop,0.41221049624769596
23.0,212573,0,0.786,0.517,0,-14.507,1,0.0445,0.034,0.546,0.0998,0.958,136.923,4,synth-pop,2.7581999847876815
24.0,246426,0,0.334,0.796,4,-7.102,0,0.0465,0.0191,0.0295,0.118,0.162,163.884,4,synth-pop,3.703817081410167
71.0,251818,0,0.481,0.496,8,-7.421,1,0.0262,0.588,0.0,0.132,0.453,89.839,4,pop,0.6109090823229733
57.0,216000,0,0.471,0.873,10,-5.503,0,0.373,0.47,8.13e-05,0.146,0.737,78.434,4,hip-hop,1.0485474270666773
24.0,234573,0,0.707,0.896,11,-5.634,0,0.0439,0.0205,0.000105,0.214,0.658,127.941,4,synth-pop,3.7535996447951083
29.0,265733,0,0.706,0.747,6,-6.336,0,0.0327,0.0724,0.00115,0.191,0.8,104.96,4,synth-pop,2.4138680905777554
78.0,205933,0,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98e-06,0.371,0.682,126.05,4,indie-pop,3.5840765696532952
71.0,231211,0,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,4,indie-pop,1.2523035152366537
47.0,238520,0,0.738,0.949,0,-5.081,1,0.0752,0.232,0.000491,0.0906,0.785,118.013,4,synth-pop,1.6239247444003428
24.0,198493,0,0.66,0.78,9,-10.304,1,0.0354,0.118,0.0,0.127,0.945,135.749,4,synth-pop,2.022159541360091
0.0,162897,0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,r-n-b,0.689740022238331
0.0,172342,0,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,hip-hop,1.6639834881741529
48.0,270169,0,0.237,0.423,7,-8.874,1,0.0304,0.329,0.00022,0.148,0.154,78.05,4,indie-pop,0.8249725733393676
57.0,202963,0,0.745,0.599,3,-6.428,0,0.0459,0.407,0.0,0.162,0.283,141.985,4,hip-hop,0.9034637183144006
54.0,183100,0,0.852,0.967,9,-1.661,0,0.0722,0.395,0.000324,0.433,0.891,124.024,4,indie-pop,1.236029220442052
63.0,211290,0,0.655,0.473,8,-9.806,1,0.0267,0.842,0.0323,0.167,0.572,92.962,4,indie-pop,0.445385153883407
0.0,162880,0,0.606,0.696,6,-5.153,1,0.0613,0.122,0.000188,0.157,0.68,121.347,4,indie-pop,1.8958997284806518
0.0,189577,0,0.768,0.935,11,-4.902,0,0.0598,0.0488,0.00117,0.339,0.8,125.971,4,pop,2.9844235908396364
68.0,284779,0,0.395,0.397,11,-7.556,1,0.0368,0.735,0.0,0.11,0.303,70.568,4,pop,0.4313941422991301
0.0,189466,0,0.743,0.735,8,-5.337,1,0.0382,0.00389,0.0,0.304,0.631,104.979,4,pop,5.01930922301348
0.0,180247,1,0.652,0.66,1,-5.319,1,0.0364,0.000724,0.000963,0.134,0.255,104.991,3,hip-hop,5.950201378331852
0.0,168839,0,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,pop,0.8839254473721234
72.0,201689,0,0.662,0.661,0,-5.689,1,0.0514,0.417,0.0,0.0784,0.222,80.009,4,pop,0.9483085327333783
68.0,351250,0,0.442,0.444,4,-9.804,1,0.042,0.744,0.0,0.0671,0.386,143.691,3,pop,0.46748367831122234
55.0,250120,0,0.667,0.783,0,-5.885,1,0.0361,0.0606,1.17e-06,0.0418,0.564,117.145,4,synth-pop,2.618201271960369
48.0,290733,0,0.589,0.432,10,-14.089,0,0.0361,0.00919,0.195,0.0949,0.605,124.084,4,r-n-b,3.7703328067312887
0.0,227280,0,0.874,0.69,10,-6.373,1,0.114,0.121,0.0,0.249,0.735,95.025,4,hip-hop,1.8954792954284214
69.0,285906,0,0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4,synth-pop,6.155720965268407
0.0,164800,0,0.547,0.791,0,-3.906,1,0.127,0.558,0.0,0.354,0.595,84.222,4,indie-pop,0.8817103982773759
89.0,141805,1,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,pop,3.017503724304551
23.0,181000,0,0.629,0.701,1,-11.94,1,0.0495,0.00205,3.88e-05,0.0692,0.753,123.944,4,synth-pop,5.441707785744001
82.0,136562,0,0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,4,indie-pop,6.352575539447322
62.0,168020,0,0.658,0.87,7,-5.228,0,0.308,0.0113,0.0,0.351,0.376,90.235,4,hip-hop,4.2729328718496875
65.0,166666,0,0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,4,r-n-b,0.8384848041713885
74.0,244724,0,0.706,0.527,5,-8.706,0,0.0269,0.139,0.000169,0.112,0.144,103.008,4,pop,1.5611476233063195
66.0,178598,0,0.602,0.249,2,-9.264,0,0.0287,0.725,0.0,0.243,0.274,131.814,3,pop,0.29488745617305107
81.0,148816,1,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,4,r-n-b,0.5323318289869543
0.0,266906,0,0.714,0.306,6,-12.111,1,0.0388,0.726,0.168,0.0924,0.314,129.984,4,indie-pop,0.3512959915861192
40.0,219328,0,0.499,0.978,10,-4.219,0,0.108,0.254,1.08e-06,0.866,0.479,174.087,4,r-n-b,1.5759419580059182
64.0,263600,0,0.413,0.419,3,-10.592,0,0.0314,0.602,0.000113,0.13,0.264,149.658,3,hip-hop,0.5275995740364642
0.0,162800,0,0.654,0.382,2,-11.8,0,0.0545,0.737,0.00041,0.356,0.289,135.93,3,indie-pop,0.41714013968866775
59.0,270720,0,0.752,0.97,5,-4.167,1,0.0943,0.0556,1.21e-06,0.0999,0.537,119.97,4,hip-hop,2.8979986649170657
69.0,144742,1,0.733,0.382,7,-7.955,1,0.0459,0.132,0.0,0.162,0.517,98.027,4,indie-pop,1.3538177724419822
0.0,170964,0,0.438,0.178,5,-9.402,1,0.0414,0.957,1.1e-06,0.316,0.344,75.25,1,pop,0.1704208213102361
0.0,189186,0,0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,4,indie-pop,0.20106373860369525
65.0,240169,0,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-06,0.112,0.619,149.929,4,pop,1.5310991785289112
47.0,238805,0,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,indie-pop,0.784118958765672
0.0,173172,0,0.372,0.522,8,-5.493,1,0.0413,0.0243,0.0,0.231,0.326,138.552,4,indie-pop,3.074192702416398
40.0,284539,0,0.609,0.726,4,-5.677,0,0.0611,0.421,0.0,0.288,0.516,89.362,4,r-n-b,1.0007712628435002
58.0,209500,0,0.806,0.93,4,-3.404,0,0.132,0.253,1.94e-05,0.106,0.666,100.016,4,hip-hop,1.5393195484254145
39.0,180013,0,0.36,0.247,0,-9.415,1,0.0396,0.838,0.00454,0.104,0.279,77.225,4,indie-pop,0.25804579402667455
66.0,222302,0,0.643,0.513,10,-7.355,0,0.0253,0.832,0.000852,0.143,0.25,95.976,4,pop,0.4798588680378305
63.0,176544,1,0.819,0.543,11,-6.397,0,0.0632,0.00129,0.0,0.105,0.667,120.966,4,synth-pop,5.472765945668465
47.0,325263,0,0.342,0.215,11,-17.445,1,0.054,0.796,0.000125,0.112,0.213,67.095,4,indie-pop,0.2388291710571958
0.0,136266,1,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1,hip-hop,3.8875585661247682
50.0,200295,0,0.748,0.57,6,-9.134,0,0.053,0.487,0.00237,0.0629,0.207,99.926,4,indie-pop,0.7738202065650974
72.0,236436,0,0.605,0.53,11,-6.346,1,0.0246,0.821,0.0,0.131,0.397,93.95,4,pop,0.4975998615467296
0.0,170964,0,0.438,0.178,5,-9.402,1,0.0414,0.957,1.1e-06,0.316,0.344,75.25,1,pop,0.1704208213102361
0.0,162897,0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,r-n-b,0.689740022238331
59.0,215773,0,0.554,0.486,8,-8.856,1,0.0403,0.458,0.00737,0.136,0.422,94.984,4,indie-pop,0.7221347174331976
